time(seconds),# activatory proteins,# repressory proteins,# Q proteins,# Qc proteins
20040,52.60897071,16.10618767,100.2805284,8.39E-39
20070,51.79693376,15.8463339,100.2804225,4.61E-39
20100,50.98922899,15.59224345,100.2812261,2.53E-39
20130,50.18512959,15.3438079,100.2805312,1.39E-39
20160,49.38433241,15.10092464,100.2827341,7.62E-40
20190,48.58639981,14.86348443,100.2836642,4.17E-40
20220,47.79206251,14.63138236,100.2832419,2.28E-40
20250,47.00211066,14.40451565,100.2847588,1.25E-40
20280,46.21238615,14.18258245,100.2847628,6.82E-41
20310,45.42751839,13.96586112,100.2855137,3.72E-41
20340,44.64704324,13.75418569,100.2879422,2.03E-41
20370,43.86936819,13.54733226,100.287007,1.11E-41
20400,43.09323878,13.34523566,100.2874457,6.02E-42
20430,42.32116871,13.14777112,100.2886006,3.28E-42
20460,41.55178512,12.95484552,100.2898216,1.78E-42
20490,40.78480498,12.76638116,100.2915932,9.67E-43
20520,40.0202736,12.58231457,100.2911886,5.25E-43
20550,39.25893799,12.40252401,100.2918414,2.85E-43
20580,38.50090426,12.22692531,100.2919339,1.54E-43
20610,37.74501734,12.0554548,100.292862,8.34E-44
20640,36.99130376,11.88801552,100.2936369,4.51E-44
20670,36.24160965,11.72452386,100.29266,2.44E-44
20700,35.49462747,11.56489758,100.2924712,1.32E-44
20730,34.7474889,11.40882103,100.2932546,7.10E-45
20760,34.0056539,11.25664512,100.2934624,3.82E-45
20790,33.26686369,11.10816224,100.293934,2.06E-45
20820,32.53141833,10.96323785,100.2940812,1.11E-45
20850,31.80033948,10.82181988,100.2971394,5.96E-46
20880,31.07083775,10.68383084,100.2974029,3.20E-46
20910,30.34593557,10.5491364,100.2961599,1.72E-46
20940,29.62417533,10.41769908,100.2988054,9.21E-47
20970,28.90576892,10.28946915,100.2995936,4.94E-47
21000,28.19206378,10.16437284,100.2997517,2.64E-47
21030,27.48179618,10.04234332,100.3000031,1.41E-47
21060,26.77622346,9.923312128,100.3007552,7.56E-48
21090,26.07531651,9.807217127,100.3023419,4.04E-48
21120,25.37893413,9.694006535,100.3033619,2.15E-48
21150,24.68813378,9.583597928,100.3026296,1.15E-48
21180,23.99856926,9.475692588,100.3031073,6.12E-49
21210,23.31736012,9.370605338,100.3043672,3.26E-49
21240,22.64278382,9.268234315,100.3051892,1.73E-49
21270,21.97659035,9.16849877,100.3061879,9.20E-50
21300,21.3167034,9.071307963,100.3069646,4.89E-50
21330,20.66533492,8.976587202,100.3077437,2.59E-50
21360,20.02190089,8.8843026,100.3072488,1.37E-50
21390,19.38726268,8.794359537,100.3075823,7.28E-51
21420,18.76171931,8.706697209,100.3098921,3.85E-51
21450,18.14609159,8.621257908,100.310039,2.04E-51
21480,17.54067038,8.537969471,100.3105182,1.08E-51
21510,16.94610812,8.456758723,100.3121887,5.69E-52
21540,16.36323065,8.37754293,100.3116041,3.00E-52
21570,15.79255453,8.300283684,100.3127038,1.58E-52
21600,15.23424566,8.22484437,100.3135135,8.33E-53
21630,14.68520275,8.150987035,100.3139149,4.38E-53
21660,14.15179499,8.07888982,100.3151059,2.31E-53
21690,13.63437869,8.008496193,100.3166601,1.21E-53
21720,13.13272035,7.939683788,100.3166052,6.36E-54
21750,12.64580334,7.872264929,100.3175371,3.34E-54
21780,12.17437623,7.806164221,100.31881,1.75E-54
21810,11.7194369,7.741336628,100.3186083,9.16E-55
21840,11.2804035,7.677639472,100.3193904,4.80E-55
21870,10.85732657,7.61497533,100.3203987,2.51E-55
21900,10.45124455,7.553297535,100.320414,1.31E-55
21930,10.06202483,7.492502479,100.3200694,6.84E-56
21960,9.68928604,7.432474553,100.3199996,3.57E-56
21990,9.334118438,7.3731714,100.3195731,1.86E-56
22020,8.99718475,7.314538811,100.3202891,9.70E-57
22050,8.67841574,7.256470013,100.322629,5.05E-57
22080,8.376787233,7.198736989,100.3242703,2.63E-57
22110,8.096037414,7.141533904,100.322773,1.37E-57
22140,7.837467574,7.084873191,100.3247897,7.10E-58
